strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
6500.0,2026-07-08,0.8662219947637557,-0.0027397260273972603,0.0,0.05,0.804689453125,393.0,5.0,put
6525.0,2026-07-08,0.8695536178205394,-0.0027397260273972603,0.0,0.05,0.7851583984375,294.0,198.0,put
6550.0,2026-07-08,0.8728852408773231,-0.0027397260273972603,0.0,0.05,0.7656273437500001,1079.0,555.0,put
6575.0,2026-07-08,0.8762168639341067,-0.0027397260273972603,0.0,0.05,0.7460962890625,450.0,284.0,put
6600.0,2026-07-08,0.8795484869908904,-0.0027397260273972603,0.0,0.05,0.726565234375,639.0,471.0,put
6625.0,2026-07-08,0.8828801100476741,-0.0027397260273972603,0.0,0.05,0.7070341796875,645.0,528.0,put
6650.0,2026-07-08,0.8862117331044578,-0.0027397260273972603,0.0,0.05,0.6875031250000001,989.0,867.0,put
6675.0,2026-07-08,0.8895433561612415,-0.0027397260273972603,0.0,0.05,0.6640658593750002,560.0,341.0,put
6700.0,2026-07-08,0.8928749792180252,-0.0027397260273972603,0.0,0.05,0.6445348046875,2140.0,1721.0,put
6725.0,2026-07-08,0.8962066022748088,-0.0027397260273972603,0.0,0.05,0.6250037500000001,779.0,523.0,put
6750.0,2026-07-08,0.8995382253315924,-0.0027397260273972603,0.0,0.05,0.6054726953125001,476.0,118.0,put
6775.0,2026-07-08,0.9028698483883761,-0.0027397260273972603,0.0,0.05,0.585941640625,507.0,38.0,put
6800.0,2026-07-08,0.9062014714451598,-0.0027397260273972603,0.0,0.05,0.5664105859375,756.0,114.0,put
